Hora, Dato_Sensor
23:16:06,0.2063
23:16:07,0.2033
23:16:08,0.2033
23:16:09,0.2053
23:16:10,0.2023
23:16:11,0.2014
23:16:12,0.2023
23:16:13,0.2033
23:16:14,0.2014
23:16:15,0.1994
23:16:16,0.2063
23:16:17,0.2033
23:16:18,0.1994
23:16:19,0.2023
23:16:20,0.2014
23:16:21,0.2053
23:16:22,0.2043
23:16:23,0.2023
23:16:24,0.2023
23:16:25,0.2063
23:16:26,0.1965
23:16:27,0.2004
23:16:28,0.1965
23:16:29,0.1984
23:16:30,0.1965
23:16:31,0.1984
